=HYPERLINK('https://www.etsy.com/transaction/1057904757');"Genuine leather shearling brown &quot;marzipan&quot; aviator cap";1
=HYPERLINK('https://www.etsy.com/transaction/1057777255');"Linen Liverpool Greek Fisherman Cap - black";1
=HYPERLINK('https://www.etsy.com/transaction/1055473650');"Balloon Artist, Painter style Peaked Cap Wool Cloth and Natural Leather - grey / black distressed";1
=HYPERLINK('https://www.etsy.com/transaction/1055441448');"Summer 5 Panels Linen Flat Cap - black";1
=HYPERLINK('https://www.etsy.com/transaction/1057725685');"American Civil War distressed leather black cap - kepi style replica with lining and optional insulation. All sizes.";1
=HYPERLINK('https://www.etsy.com/transaction/1057631659');"Greek Fisherman style Cap Wool Cloth - olive check";1
=HYPERLINK('https://www.etsy.com/transaction/1055207730');"Fiddler cap sewn with wool cloth - brown";1
=HYPERLINK('https://www.etsy.com/transaction/1057488869');"Fiddler cap sewn with wool cloth";1
=HYPERLINK('https://www.etsy.com/transaction/1057436647');"Motorcycle peaked cap with genuine leather brown brim and grey wool cloth crown. Vintage style. Biker hat.";1
=HYPERLINK('https://www.etsy.com/transaction/1055151794');"Maciejowka fiddler cap - traditional Polish hat similar to fisherman breton cap - black";1
